experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F35_prev3_rolling_huber_010,valid,exact_prev1_gap_bucket_plus,31-90,76044,0.06109832109777004,0.1802753246889599,0.30798614381053213,0.03762295513123981
F35_prev3_rolling_huber_010,valid,exact_prev1_gap_bucket_plus,366-730,6661,0.1106831990463323,0.3285307353008954,0.5428979553222265,0.16604113496472
F35_prev3_rolling_huber_010,valid,exact_prev1_gap_bucket_plus,731+,7988,0.13862046170650213,0.3737024843708412,0.6311314414045932,0.2383575363044567
F35_prev3_rolling_huber_010,valid,exact_prev1_gap_bucket_plus,91-180,26788,0.07115049563215232,0.20903917872608102,0.36005913966474334,0.05599522174107809
F35_prev3_rolling_huber_010,valid,exact_prev1_gap_bucket_plus,missing_or_negative,1965,0.48922178592380805,0.9367793125574191,3.0599987230891803,0.5954198473282443
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,1-30,258458,0.05337359220551009,0.1599306001317797,0.2676495292998228,0.026259585696708942
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,181-365,13142,0.08628271506728467,0.2571079656965217,0.4371420211911331,0.09199513011718155
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,31-90,74756,0.061840907097053886,0.18361339368971488,0.31345428844437595,0.03959548397453047
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,366-730,5694,0.1153806881386755,0.34560573305733,0.5548966932961824,0.18071654373024237
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,731+,5847,0.15483098666263223,0.39982979807879043,0.6532080728074608,0.2857875833760903
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,91-180,25242,0.07175693621150635,0.21156255585873648,0.361007668669423,0.05744394263529039
F35_prev3_rolling_huber_010,valid,prev1_gap_bucket_plus,missing_or_negative,1293,0.6692823143814226,1.4276015763717114,3.592979220387342,0.7764887857695282
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,1-30,170682,0.051550113429013354,0.1550517733344966,0.25887648043268885,0.023617018783468672
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,181-365,26798,0.07198301077183832,0.21348105782927848,0.36636759320585016,0.059071572505410855
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,31-90,113092,0.056381056161046474,0.16830900129082968,0.28076745998212327,0.03064761433169455
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,366-730,11654,0.09257428572442215,0.28491501139835845,0.4804416468667867,0.11232194954522053
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,731+,13013,0.12361116583157289,0.34938406298403024,0.569739066629526,0.19196188426957658
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,91-180,46543,0.06351771114002915,0.18657096365098902,0.32475311075971813,0.04155297252003524
F35_prev3_rolling_huber_010,valid,prev2_gap_bucket_plus,missing_or_negative,2650,0.39360074623724417,0.8910456113680996,2.7794145538776616,0.48641509433962266
F35_prev3_rolling_huber_010,valid,wide_prev_jump_20_group,0,352933,0.05761330593477172,0.16940792668282872,0.3128110659490652,0.032858927898496315
F35_prev3_rolling_huber_010,valid,wide_prev_jump_20_group,1,31499,0.10975098627767867,0.30023745285322784,0.4892429888974098,0.14327438966316391
F35_prev3_rolling_huber_010,valid,exact_prev_jump_20_group,0,352916,0.05784930863446346,0.17061356458804444,0.31551787503983747,0.03347822144646318
F35_prev3_rolling_huber_010,valid,exact_prev_jump_20_group,1,31516,0.10708010579379011,0.294607049169089,0.48274955229462935,0.13627998476964082
F35_prev3_rolling_huber_010,valid,exact_wide_gap_10_group,0,375845,0.06073867077004791,0.1817808199382665,0.3348301504060415,0.039452433849060116
